순번,대분류,상품명,대여횟수,제조사,구성품,장난감나라 위치
0,음률,신나는악기세트,1,숲소리,악기3개,"서울특별시 용산구 백범로 329, 1층"
1,"조작,탐색",낚시놀이 마린,1,숲소리,"낚시대, 물고기8개","서울특별시 용산구 백범로 329, 1층"
2,"조작,탐색",낚시놀이 마린,1,숲소리,"낚시대, 물고기8개","서울특별시 용산구 백범로 329, 1층"
3,"조작,탐색",도형자동차3종,1,숲소리,자동차3개,"서울특별시 용산구 백범로 329, 1층"
4,"조작,탐색",도형자동차3종,1,숲소리,자동차3개,"서울특별시 용산구 백범로 329, 1층"
5,신체,3in1 트램폴린,0,스마트라이크,"본체, 안전바, 커버, 볼100개","서울특별시 용산구 백범로 329, 1층"
6,신체,3in1 트램폴린,0,스마트라이크,"본체, 안전바, 커버, 볼100개","서울특별시 용산구 백범로 329, 1층"
7,신체,3in1 트램폴린,0,스마트라이크,"본체, 안전바, 커버, 볼100개","서울특별시 용산구 백범로 329, 1층"
8,역할놀이,5755-우편함이 있는 초콜릿 토끼 이층집,0,실바니안,"토끼, 하우스, 우편, 우편함, 가구4개, 싱크대, 오븐, 트레이, 취사도구3개, 음식2개, 이불","서울특별시 용산구 백범로 329, 1층"
9,역할놀이,5755-우편함이 있는 초콜릿 토끼 이층집,0,실바니안,"토끼, 하우스, 우편, 우편함, 가구4개, 싱크대, 오븐, 트레이, 취사도구3개, 음식2개, 이불","서울특별시 용산구 백범로 329, 1층"
10,"조작,탐색",핑크퐁 슈퍼구조대 자동차 3종 세트,0,아이윌,자동차3개,"서울특별시 용산구 백범로 329, 1층"
11,"조작,탐색",핑크퐁 슈퍼구조대 자동차 3종 세트,0,아이윌,자동차3개,"서울특별시 용산구 백범로 329, 1층"
12,"조작,탐색",똑똑한 꼬마버스,1,아이존,본체1개,"서울특별시 용산구 백범로 329, 1층"
13,"조작,탐색",똑똑한 꼬마버스,1,아이존,본체1개,"서울특별시 용산구 백범로 329, 1층"
14,"조작,탐색",뽀로로 노래하는 청소돌돌이,1,아이코닉스,본체1개,"서울특별시 용산구 백범로 329, 1층"
15,"조작,탐색",뽀로로 노래하는 청소돌돌이,1,아이코닉스,본체1개,"서울특별시 용산구 백범로 329, 1층"
16,"조작,탐색",뽀로로 노래하는 청소돌돌이,1,아이코닉스,본체1개,"서울특별시 용산구 백범로 329, 1층"
17,신체,뽀로로 뮤직 플레이하우스,1,아이코닉스,"본체, 공4개, 도형4개, 전화기, 열쇠","서울특별시 용산구 백범로 329, 1층"
18,신체,뽀로로 뮤직 플레이하우스,1,아이코닉스,"본체, 공4개, 도형4개, 전화기, 열쇠","서울특별시 용산구 백범로 329, 1층"
